ID,Product_Name,Material,Price,Product_Page,MRP_Rate,Offer,Estimated_Delivery,Category,Rating,Reviews
8028,Leonay Table Clock,Aluminum,2232,https://vaaree.com/products/leonay-table-clock,3000,26,2025-03-10,Clocks,5,1
7365,Time Machine Wall Clock,Plastic,699,https://vaaree.com/products/time-machine-wall-clock,1499,54,2025-03-15,Clocks,0,9
1426,Moonkiss Wall Clock,Plastic,1050,https://vaaree.com/products/moonkiss-wall-clock,2100,50,2025-03-10,Clocks,1,1
2290,Calypso Table Clock - Gold,Aluminum,2325,https://vaaree.com/products/calypso-table-clock-gold,3125,26,2025-03-10,Clocks,5,3
6593,Flora Stell Wall Clock,Iron,2142,https://vaaree.com/products/flora-stell-wall-clock,3213,34,2025-03-15,Clocks,1,1
5790,Ondene Flower Wall Clock,Iron,1890,https://vaaree.com/products/ondene-flower-wall-clock,2849,34,2025-03-15,Clocks,1,1
1175,Neto Wall Clock,Metal,940,https://vaaree.com/products/neto-wall-clock,1435,35,2025-03-10,Clocks,1,1
2742,Fionna Carved Table Lamp,Fabric Shade,1279,https://vaaree.com/products/fionna-carved-table-lamp,3200,60,2025-03-10,Lamps & Lighting,0,11
9172,Warm Glow Curtain Lights,Plastic,799,https://vaaree.com/products/warm-glow-curtain-lights,2500,68,2025-03-10,Lamps & Lighting,0,3
6700,Rose Elegance String Light,Foam,399,https://vaaree.com/products/rose-elegance-string-light,1200,67,2025-03-10,Lamps & Lighting,0,9
3637,Amina Wall Lamp,Metal Shade,849,https://vaaree.com/products/amina-wall-lamp,2000,58,2025-03-10,Lamps & Lighting,0,8
9614,Lueur Table Lamp - Beige,Fabric Shade,1499,https://vaaree.com/products/lueur-table-lamp-beige,3200,54,2025-03-10,Lamps & Lighting,0,5
5281,Saffia Table Lamp,Fabric Shade,799,https://vaaree.com/products/saffia-table-lamp,1799,56,2025-03-10,Lamps & Lighting,0,5
4800,Adiah Wall Lamp,Glass Shade,1117,https://vaaree.com/products/adiah-wall-lamp,2900,62,2025-03-10,Lamps & Lighting,0,4
5953,Mystne Ceiling Lamp - Large,Rattan Shade,1279,https://vaaree.com/products/mystne-ceiling-lamp-large,5000,75,2025-03-10,Lamps & Lighting,0,3
8377,Moon Gooseneck Moon Wall  Lamp - Set Of Two,Glass Shade,759,https://vaaree.com/products/moon-gooseneck-wall-lamp-set-of-two,2500,70,2025-03-10,Lamps & Lighting,0,16
6147,Modern Haveli Lantern,Glass Shade,1096,https://vaaree.com/products/modern-haveli-lantern,3300,67,2025-03-10,Lamps & Lighting,0,7
8535,Dapper Diamond Wall Lamp - Black,Metal Shade,547,https://vaaree.com/products/dapper-diamond-wall-lamp-black,1800,70,2025-03-10,Lamps & Lighting,0,1
6831,Eclipse Wall Lamp,Glass Shade,816,https://vaaree.com/products/eclipse-wall-lamp,2000,60,2025-03-10,Lamps & Lighting,0,6
1105,Tall Tales Blue Wood Table Lamp,Fabric Shade,1425,https://vaaree.com/products/tall-tales-blue-wood-table-lamp,5000,72,2025-03-10,Lamps & Lighting,0,1
2744,Gracie Bell Black Table Lamp,Fabric Shade,649,https://vaaree.com/products/gracie-bell-black-table-lamp,2450,74,2025-03-10,Lamps & Lighting,0,3
7835,Knox Table Lamp - Beige,Fabric Shade,657,https://vaaree.com/products/knox-table-lamp-beige,2400,73,2025-03-10,Lamps & Lighting,0,1
8457,Amber Bubble Table Lamp,Fabric Shade,1179,https://vaaree.com/products/amber-bubble-table-lamp,5000,77,2025-03-10,Lamps & Lighting,0,6
8250,Boho Fauna Dome Table Lamp,Fabric Shade,1322,https://vaaree.com/products/boho-fauna-dome-table-lamp,2350,44,2025-03-10,Lamps & Lighting,0,1
6930,Fancy Pants Table Lamp,Fabric Shade,1989,https://vaaree.com/products/fancy-pants-table-lamp,2800,29,2025-03-10,Lamps & Lighting,0,6
9938,Fiza Etched Table Lamp - Green,Fabric Shade,1520,https://vaaree.com/products/fiza-etched-table-lamp-green,3000,50,2025-03-10,Lamps & Lighting,0,7
4317,Pendant Wall Lamp,Glass Shade,1199,https://vaaree.com/products/pendant-wall-lamp,4000,70,2025-03-10,Lamps & Lighting,0,7
1218,Lucille Moon LED Ceiling Lamp,Glass Shade,1199,https://vaaree.com/products/lucille-ceiling-lamp,2100,43,2025-03-10,Lamps & Lighting,0,1
9083,Enchanted String Lights - Set Of Four,Metal,296,https://vaaree.com/products/enchanted-string-lights-set-of-four,1400,79,2025-03-10,Lamps & Lighting,0,4
4960,Atmosfera Ceramic LED Table Lamp - Orange,Fabric,1499,https://vaaree.com/products/atmosa-ceramic-table-lamp-peach,2199,32,2025-03-10,Lamps & Lighting,0,13
8793,Imane Wall Lamp,Metal Shade,1159,https://vaaree.com/products/imane-wall-lamp,2500,54,2025-03-10,Lamps & Lighting,0,4
5569,Rosselia Wall Mirror,Iron,1874,https://vaaree.com/products/rosselia-wall-mirror,2610,29,2025-03-15,Mirrors,5,1
3198,Sufiya Wall Mirror,Iron,1155,https://vaaree.com/products/sufiya-wall-mirror,1733,34,2025-03-15,Mirrors,5,1
6006,Maku Wall Mirror - Brown,Iron,1218,https://vaaree.com/products/maku-wall-mirror-brown,1827,34,2025-03-15,Mirrors,5,2
8726,Rados Charme Wall Mirror,Iron,1349,https://vaaree.com/products/rados-charme-wall-mirror,2024,34,2025-03-15,Mirrors,0,3
2243,Floro Finesse Wall Mirror,Iron,1575,https://vaaree.com/products/floro-finesse-wall-mirror,2363,34,2025-03-15,Mirrors,0,1
2867,Flora Macrame Wall Mirror - Mustard,Cotton,1099,https://vaaree.com/products/flora-macrame-wall-mirror-maroon,1199,9,2025-03-10,Mirrors,4,1
4956,Aurum Drip Decorative Wall Mirror,Wood,0,https://vaaree.com/products/aurum-drip-decorative-wall-mirror,4999,36,2025-03-10,Mirrors,0,1
2255,Maku Wall Mirror - Tan,Iron,1176,https://vaaree.com/products/maku-wall-mirror-tan,1764,34,2025-03-15,Mirrors,1,1
1436,Nisha Vintage Hand Mirror,Aluminum,399,https://vaaree.com/products/nisha-vintage-hand-mirror,699,43,2025-03-10,Mirrors,0,10
6849,Omia Blossom Wall Mirror,Iron,1701,https://vaaree.com/products/omia-blossom-wall-mirror,2370,29,2025-03-15,Mirrors,1,1
9014,Rose Blush Wall Mirror,Iron,2025,https://vaaree.com/products/rose-blush-wall-mirror,2820,29,2025-03-15,Mirrors,0,1
6310,Jeneva Wall Mirror - Set Of Two,Iron,1554,https://vaaree.com/products/jeneva-wall-mirror-set-of-two,2331,34,2025-03-15,Mirrors,0,1
9383,Celestia Wall Mirror,Wood,0,https://vaaree.com/products/celestia-wall-mirror,6999,48,2025-03-10,Mirrors,0,1
6818,Arch Reflect Wall Mirror,Wood,4106,https://vaaree.com/products/arch-reflect-wall-mirror,10999,63,2025-03-10,Mirrors,0,1
8756,Jharokha Reflections Wall Mirror,Wood,3694,https://vaaree.com/products/jharokha-reflections-wall-mirror,8999,59,2025-03-10,Mirrors,0,1
2354,Grama Bloom Wall Mirror,Iron,1981,https://vaaree.com/products/grama-bloom-wall-mirror,2760,29,2025-03-15,Mirrors,3,1
7931,Solea Wall Mirror,Wood,0,https://vaaree.com/products/solea-wall-mirror-1,9999,59,2025-03-10,Mirrors,0,1
9196,Aeliana Wall Mirror - Set Of Three,Wood,5556,https://vaaree.com/products/aeliana-wall-mirror-set-of-three,11999,54,2025-03-10,Mirrors,0,1
9988,Briella Wall Mirror - Set Of Four,Wood,1066,https://vaaree.com/products/briella-wall-mirror-set-of-four,4000,74,2025-03-10,Mirrors,0,10
3385,Roshera Bloom Wall Mirror,Iron,1917,https://vaaree.com/products/roshera-bloom-wall-mirror,2670,29,2025-03-15,Mirrors,0,1
4368,Greek Key Reflection Decorative Wall Mirror - Brown,Wood,0,https://vaaree.com/products/greek-key-reflection-decorative-wall-mirror-brown,6999,50,2025-03-10,Mirrors,0,1
3528,Hexaga Fuse Mirror,Iron,4999,https://vaaree.com/products/hexaga-fuse-mirror,5999,17,2025-03-10,Mirrors,0,1
9653,Artiya Bloom Wall Mirror,Iron,2025,https://vaaree.com/products/artiya-bloom-wall-mirror,2820,29,2025-03-10,Mirrors,0,1
